id,accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_has_profile_pic,host_response_time,host_response_rate,host_is_superhost,number_of_reviews,review_scores_rating,neighbourhood_group_cleansed,longitude,latitude,property_type,room_type,bed_type,minimum_nights,instant_bookable,is_business_travel_ready,geometry
139769,2,1.0,1,55,0,0,5,1,2.935233132,105.0,t,0.0,100.0,0,226,96.0,Mitte,13.39194616,52.52810573,0,0,Real Bed,2,1,f,POINT (13.39194616349694 52.52810573094471)
143605,4,1.0,1,55,40,200,15,2,3.198399882,40.0,t,2.0,100.0,1,55,91.0,Neukölln,13.42437149,52.47677777,0,1,Real Bed,30,1,f,POINT (13.42437149429687 52.47677777481413)
145249,3,1.0,1,70,40,85,10,1,4.224488224,25.0,t,NaN,NaN,1,107,94.0,Friedrichshain-Kreuzberg,13.46122088,52.51819219,2,0,Real Bed,3,0,f,POINT (13.46122087793773 52.51819219317532)
147946,2,1.0,1,31,0,250,0,1,5.098073819,43.55427734,t,NaN,NaN,1,39,98.0,Pankow,13.40851675,52.54854936,0,1,Real Bed,183,1,f,POINT (13.40851674684434 52.54854936182288)
149849,4,1.0,2,40,20,100,25,2,3.00852047,16.0,t,0.0,100.0,1,47,90.0,Mitte,13.40259804,52.52981719,0,0,Real Bed,2,0,f,POINT (13.40259803750833 52.5298171921792)
151249,4,1.0,1,81,80,1000,20,1,1.084264219,70.0,t,2.0,100.0,1,10,85.0,Friedrichshain-Kreuzberg,13.4167945,52.49677894,0,1,Real Bed,1,1,f,POINT (13.41679450431317 52.49677893596029)
153015,2,1.0,1,52,20,0,15,2,5.024682537,30.0,t,0.0,100.0,1,127,88.0,Pankow,13.41825381,52.54714553,0,0,Pull-out Sofa,3,1,f,POINT (13.41825380582968 52.54714552904225)
155048,2,1.0,2,100,80,3000,100,2,4.950487508,12.0,t,2.0,100.0,1,4,95.0,Pankow,13.43719326,52.54250549,0,1,Real Bed,180,1,f,POINT (13.43719326310143 52.54250548510002)
156010,3,1.0,1,36,50,120,12,2,1.974812095,60.0,t,2.0,100.0,1,95,94.0,Mitte,13.42446742,52.51553512,0,1,Real Bed,90,0,f,POINT (13.42446742046249 52.5155351204516)
157546,4,1.0,2,88,40,0,40,4,1.59917777,85.0,t,2.0,60.0,1,45,94.0,Friedrichshain-Kreuzberg,13.42449341,52.49544917,0,1,Real Bed,5,1,f,POINT (13.42449340549794 52.49544917093305)
